subj_id	trial_no	t	x	y
143	24	0.0	-9.48811983471	2.14493801653
143	24	24.88	-9.48811983471	3.69382690542
143	24	49.76	-9.48811983471	7.10258507535
143	24	74.64	-9.48811983471	9.22493801653
143	24	99.52	-8.51478650138	12.0916046832
143	24	124.4	-6.56311983471	18.4574380165
143	24	149.28	-2.40576689353	32.3590556636
143	24	174.16	6.83188016529	55.2249380165
143	24	199.04	20.5307036947	80.1802321342
143	24	223.92	31.7730566359	101.667290958
143	24	248.8	40.1589389888	122.156702722
143	24	273.68	43.5118801653	137.484938017
143	24	298.56	39.8507036947	152.213173311
143	24	323.44	34.1168801653	159.539938017
143	24	348.32	29.7918801653	163.864938017
143	24	373.2	24.24129193	166.99199684
143	24	398.08	18.7418801653	170.029938017
143	24	422.96	14.8742331065	171.963761546
143	24	447.84	10.6568801653	174.072438017
143	24	472.72	10.3698442371	174.144938017
143	24	497.6	10.2208622012	174.144938017
143	24	522.48	10.0718801653	174.144938017
143	24	547.36	9.92289812936	174.144938017
143	24	572.24	9.77391609343	174.144938017
143	24	597.12	9.6249340575	174.144938017
143	24	622.0	10.9236448712	175.203761546
143	24	646.88	20.4518801653	179.747438017
143	24	671.76	46.6765860476	188.87199684
143	24	696.64	85.2668801653	202.964938017
143	24	721.52	114.411880165	216.249938017
143	24	746.4	141.111880165	230.944938017
143	24	771.28	163.698546832	245.587160239
143	24	796.16	179.253056636	256.337879193
143	24	821.04	184.456880165	264.089938017
143	24	845.92	187.285213499	266.91827135
143	24	870.8	187.511880165	267.197729895
143	24	895.68	187.511880165	267.260877103
143	24	920.56	187.511880165	267.324024311
143	24	945.44	187.511880165	267.387171519
143	24	970.32	187.511880165	267.450318727
143	24	995.2	187.511880165	267.513465935
143	24	1020.08	187.511880165	267.576613143
143	24	1044.96	187.511880165	267.639760352
143	24	1069.84	187.511880165	267.70290756
143	24	1094.72	187.511880165	267.766054768
143	24	1119.6	187.511880165	267.829201976
143	24	1144.48	187.511880165	267.892349184
143	24	1169.36	187.511880165	267.955496392
143	24	1194.24	187.511880165	268.0186436
143	24	1219.12	187.511880165	268.081790808
143	24	1244.0	187.511880165	268.144938017
